"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"666",542255,"Ender Inciarte","2539","26.2","0.305","0.106","0.341","0.411","0.304","0.262","0.259","201","659","81.2","8.5","2165","88.4","87.85","77","649","17","-0.6","5.96","112","148","99","148","281","310","294"
"657",543829,"Dee Gordon","2397","27.4","0.309","0.068","0.355","0.376","0.293","0.255","0.265","201","651","79.2","0.3","2203","88.4","87.85","84","648","9","-0.5","6.05","104","144","93","144","273","303","293"
"654",596019,"Francisco Lindor","2727","24.0","0.276","0.234","0.277","0.509","0.325","0.334","0.281","178","646","88.2","13.7","2167","88.3","87.89","76","637","17","-0.4","6.04","112","148","109","147","289","315","295"
"641",462101,"Elvis Andrus","2547","25.2","0.300","0.176","0.329","0.476","0.325","0.287","0.262","191","636","86.3","7.9","2258","88.8","88.49","80","620","21","-0.3","6.07","105","148","108","145","299","317","287"
"641",453568,"Charlie Blackmon","2885","22.2","0.335","0.274","0.378","0.609","0.391","0.347","0.293","213","635","87.1","13.3","2181","88.4","88.11","108","614","27","-0.3","5.98","117","149","109","151","301","325","305"
"631",592518,"Manny Machado","2548","24.8","0.262","0.215","0.269","0.477","0.304","0.346","0.286","163","622","91.4","14.1","2239","88.2","87.58","98","614","17","-0.6","5.91","109","151","116","145","303","325","294"
"627",605141,"Mookie Betts","2804","22.4","0.267","0.196","0.271","0.463","0.303","0.310","0.278","166","622","88.2","14.4","2254","89.1","88.59","60","608","19","-0.5","5.99","109","150","113","145","290","320","294"
"623",570731,"Jonathan Schoop","2544","24.5","0.295","0.213","0.334","0.508","0.333","0.307","0.272","182","616","87.8","13.3","2238","88.4","87.78","126","607","16","-0.6","5.93","108","150","115","145","300","323","292"
"621",446334,"Evan Longoria","2492","24.9","0.263","0.164","0.285","0.427","0.284","0.283","0.247","160","609","86.7","12.8","2241","89.0","88.41","90","602","19","-0.6","6.01","107","151","116","146","301","327","295"
"619",466320,"Melky Cabrera","2421","25.6","0.290","0.139","0.304","0.429","0.301","0.320","0.302","177","611","88.2","9.2","2178","88.8","88.57","59","604","15","-0.2","6.11","111","148","111","147","291","317","295"
"618",547989,"Jose Abreu","2560","24.1","0.308","0.251","0.335","0.559","0.358","0.347","0.292","189","614","90.6","11.6","2287","88.3","87.96","105","604","14","-0.3","6.06","107","150","116","146","302","324","295"
"615",572821,"Brian Dozier","2827","21.8","0.272","0.228","0.302","0.501","0.321","0.304","0.245","167","613","87.3","16.6","2256","89.0","88.50","103","577","38","-0.5","6.01","108","152","110","144","296","320","289"
"613",518934,"DJ LeMahieu","2676","22.9","0.312","0.099","0.354","0.412","0.307","0.307","0.303","189","605","88.7","2.7","2224","88.7","88.40","59","582","31","-0.3","5.97","109","149","111","148","311","321","293"
"613",592206,"Nicholas Castellanos","2605","23.5","0.275","0.220","0.317","0.495","0.318","0.353","0.289","167","608","89.0","14.2","2237","88.4","88.02","109","580","33","-0.4","6.07","109","152","116","146","301","324","293"
"613",542303,"Marcell Ozuna","2560","23.9","0.313","0.237","0.356","0.550","0.359","0.342","0.288","191","611","90.7","10.3","2198","88.3","87.69","117","586","27","-0.6","6.04","107","150","116","146","305","321","298"
"608",571448,"Nolan Arenado","2627","23.1","0.311","0.280","0.323","0.591","0.370","0.337","0.277","187","601","88.8","17.6","2236","88.9","88.51","100","602","6","-0.4","5.97","108","151","115","146","308","328","305"
"605",592885,"Christian Yelich","2883","21.0","0.284","0.157","0.338","0.441","0.303","0.324","0.292","170","599","90.3","4.6","2195","89.0","88.45","111","579","26","-0.5","6.06","113","148","114","149","294","316","301"
"604",596059,"Rougned Odor","2405","25.1","0.207","0.195","0.228","0.402","0.251","0.271","0.232","124","600","88.2","15.3","2191","87.5","87.11","142","584","20","-0.4","6.03","114","153","119","150","295","324","301"
"604",520471,"Freddy Galvis","2641","22.9","0.259","0.129","0.299","0.388","0.272","0.259","0.240","155","598","85.0","14.3","2167","88.5","88.09","92","585","19","-0.4","6.10","109","147","104","148","286","312","290"
"602",444876,"Alcides Escobar","2233","27.0","0.254","0.108","0.296","0.362","0.259","0.261","0.251","150","591","83.1","13.0","2235","88.2","88.05","86","586","16","-0.2","6.08","105","148","103","145","298","314","280"
"597",543333,"Eric Hosmer","2573","23.2","0.323","0.182","0.357","0.504","0.348","0.327","0.294","192","595","89.4","4.0","2229","88.3","88.05","86","579","18","-0.2","6.07","113","150","119","150","296","325","308"
"596",405395,"Albert Pujols","2486","24.0","0.242","0.145","0.250","0.387","0.263","0.299","0.261","143","592","88.7","13.5","2231","88.5","88.23","73","576","20","-0.3","5.99","106","152","119","146","305","326","298"
"595",519317,"Giancarlo Stanton","2736","21.7","0.284","0.353","0.292","0.637","0.376","0.363","0.277","168","592","91.9","11.1","2232","88.7","88.14","134","566","29","-0.6","6.04","107","151","119","145","309","327","303"
"592",458731,"Brett Gardner","2890","20.5","0.269","0.166","0.306","0.435","0.294","0.295","0.275","157","584","85.4","9.6","2222","89.1","88.60","83","553","39","-0.5","6.01","112","148","105","147","281","315","294"
"592",430832,"Jose Bautista","2977","19.9","0.203","0.164","0.241","0.368","0.235","0.250","0.210","119","585","88.3","17.0","2260","88.5","87.94","128","550","42","-0.6","6.00","108","152","117","145","298","326","300"
"592",594807,"Adam Duvall","2484","23.8","0.251","0.234","0.294","0.485","0.300","0.279","0.231","146","581","87.3","21.6","2192","89.1","88.78","125","547","45","-0.3","6.11","106","150","114","144","299","318","292"
"591",429664,"Robinson Cano","2315","25.5","0.282","0.173","0.296","0.456","0.309","0.335","0.294","166","588","90.3","7.5","2206","87.8","87.36","71","577","14","-0.4","6.01","113","150","120","149","292","321","300"
"591",514888,"Jose Altuve","2308","25.6","0.348","0.203","0.373","0.551","0.376","0.331","0.293","204","586","85.6","9.4","2246","88.1","87.60","62","569","22","-0.5","6.02","105","148","106","145","295","319","287"
"590",455976,"Nick Markakis","2717","21.7","0.278","0.111","0.328","0.388","0.282","0.282","0.268","163","587","88.3","8.7","2188","88.1","87.59","78","558","32","-0.5","5.98","114","149","115","150","290","315","298"
