"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"590",430945,"Adam Jones","2285","25.8","0.290","0.184","0.320","0.474","0.320","0.304","0.269","170","586","86.8","12.4","2221","88.0","87.28","101","578","12","-0.7","5.91","109","151","114","145","301","323","290"
"589",592743,"Andrelton Simmons","2295","25.7","0.282","0.145","0.295","0.427","0.296","0.276","0.260","164","581","86.0","7.8","2242","88.8","88.32","53","575","14","-0.5","5.99","106","150","107","146","302","319","290"
"587",593160,"Whit Merrifield","2369","24.8","0.292","0.174","0.313","0.466","0.315","0.313","0.279","169","579","87.0","16.2","2242","88.6","88.44","69","568","19","-0.2","6.07","106","149","105","146","299","316","286"
"586",607680,"Kevin Pillar","2220","26.4","0.259","0.150","0.284","0.409","0.280","0.291","0.271","150","580","85.5","12.9","2236","88.5","87.86","80","571","15","-0.6","5.99","105","149","108","144","296","320","287"
"585",572816,"Corey Dickerson","2493","23.5","0.285","0.209","0.342","0.494","0.324","0.299","0.258","166","583","86.7","13.7","2220","87.9","87.30","140","573","12","-0.6","5.98","116","151","120","151","291","324","301"
"585",608070,"Jose Ramirez","2576","22.7","0.321","0.267","0.322","0.588","0.374","0.336","0.303","186","580","88.0","14.9","2191","88.0","87.55","58","574","11","-0.5","6.02","111","147","111","146","289","315","294"
"585",571740,"Billy Hamilton","2518","23.2","0.249","0.088","0.316","0.337","0.249","0.223","0.231","144","578","78.4","8.2","2159","88.5","88.11","97","549","34","-0.4","6.08","103","142","94","143","280","304","285"
"583",572122,"Kyle Seager","2565","22.7","0.250","0.201","0.262","0.451","0.289","0.312","0.257","144","577","87.8","20.3","2205","88.0","87.56","87","560","23","-0.4","6.03","114","160","122","150","290","319","299"
"581",641313,"Tim Anderson","2117","27.4","0.261","0.147","0.335","0.408","0.282","0.270","0.245","151","578","85.0","7.4","2279","87.9","87.54","139","558","23","-0.4","6.07","106","149","106","144","295","315","285"
"580",643217,"Andrew Benintendi","2533","22.9","0.271","0.154","0.302","0.426","0.290","0.300","0.267","155","571","87.2","14.3","2172","88.2","87.65","84","552","28","-0.6","5.97","113","146","112","148","281","318","301"
"577",596748,"Maikel Franco","2334","24.7","0.231","0.180","0.236","0.411","0.266","0.280","0.245","132","572","88.5","11.3","2205","89.3","88.96","74","556","21","-0.3","6.14","108","152","115","147","296","319","293"
"575",456715,"Lorenzo Cain","2515","22.9","0.305","0.143","0.348","0.449","0.318","0.318","0.303","175","573","88.9","10.5","2227","88.8","88.58","79","554","21","-0.2","6.10","108","150","113","146","301","320","290"
"574",519203,"Anthony Rizzo","2723","21.1","0.274","0.235","0.274","0.509","0.323","0.342","0.283","156","570","88.1","15.5","2190","89.0","88.56","76","560","14","-0.4","6.07","115","159","126","150","295","320","301"
"570",408252,"Brandon Phillips","2108","27.0","0.287","0.132","0.311","0.420","0.299","0.286","0.273","163","567","84.4","8.1","2195","88.4","87.99","71","568","2","-0.4","6.00","108","150","112","147","303","315","286"
"570",457705,"Andrew McCutchen","2621","21.7","0.280","0.208","0.308","0.489","0.320","0.327","0.284","159","567","88.4","14.1","2211","89.4","89.00","93","547","23","-0.4","6.05","108","151","114","145","303","317","292"
"569",594777,"Kole Calhoun","2521","22.6","0.247","0.149","0.288","0.396","0.268","0.283","0.250","139","563","87.9","12.3","2211","88.5","88.03","110","545","24","-0.5","5.99","115","154","117","149","292","322","302"
"569",592387,"Ryon Healy","2279","25.0","0.275","0.183","0.326","0.459","0.307","0.300","0.252","156","567","88.2","12.8","2265","87.5","87.00","117","544","25","-0.5","5.94","107","151","116","146","302","324","293"
"569",467793,"Carlos Santana","2648","21.5","0.261","0.198","0.277","0.459","0.299","0.313","0.265","148","567","88.3","12.9","2168","89.1","88.73","71","546","23","-0.4","6.09","112","157","123","148","296","322","300"
"566",476704,"Jed Lowrie","2584","21.9","0.279","0.172","0.316","0.451","0.305","0.328","0.288","157","563","88.2","18.1","2181","88.4","88.01","78","544","22","-0.4","5.99","113","151","113","149","288","316","295"
"566",501981,"Khris Davis","2591","21.8","0.250","0.284","0.296","0.535","0.319","0.354","0.264","140","559","92.3","14.5","2222","88.6","88.18","150","521","45","-0.4","5.99","107","151","116","146","304","326","296"
"566",571976,"Wil Myers","2669","21.2","0.247","0.224","0.303","0.470","0.294","0.287","0.236","138","559","89.1","15.7","2265","89.2","88.43","117","503","63","-0.8","5.92","109","151","115","145","302","322","299"
"564",593428,"Xander Bogaerts","2544","22.2","0.278","0.132","0.333","0.409","0.289","0.256","0.249","156","562","87.3","8.7","2270","88.9","88.40","94","542","22","-0.5","6.00","108","149","113","146","291","316","288"
"562",458015,"Joey Votto","2732","20.6","0.322","0.259","0.323","0.581","0.373","0.361","0.297","179","556","87.6","14.1","2146","89.1","88.75","51","530","32","-0.3","6.12","114","151","122","150","293","318","299"
"560",608324,"Alex Bregman","2302","24.3","0.286","0.192","0.314","0.478","0.316","0.312","0.282","158","552","87.6","16.6","2247","88.5","88.05","67","530","30","-0.4","6.03","108","149","111","146","295","318","285"
"560",443558,"Nelson Cruz","2474","22.6","0.289","0.262","0.318","0.552","0.345","0.364","0.283","160","553","92.9","12.3","2259","88.1","87.58","114","534","26","-0.5","6.01","107","151","119","146","302","324","296"
"559",475253,"Justin Smoak","2591","21.6","0.271","0.260","0.288","0.531","0.332","0.355","0.276","151","557","89.7","17.1","2194","88.2","87.69","92","523","36","-0.5","6.03","113","163","133","149","296","327","302"
"558",519058,"Mike Moustakas","2240","24.9","0.274","0.250","0.265","0.524","0.328","0.320","0.265","151","552","87.2","18.4","2193","88.0","87.85","91","555","3","-0.1","6.07","115","158","126","150","297","325","303"
"557",502671,"Paul Goldschmidt","2762","20.2","0.300","0.268","0.348","0.568","0.358","0.354","0.283","166","553","91.3","11.7","2251","89.3","88.76","119","529","28","-0.5","5.91","108","151","116","147","307","326","301"
"554",434778,"Kendrys Morales","2332","23.8","0.252","0.198","0.282","0.450","0.292","0.330","0.271","139","551","91.1","9.9","2169","87.3","86.75","118","540","14","-0.5","5.97","113","163","131","149","296","328","303"
"553",457708,"Justin Upton","2695","20.5","0.275","0.270","0.346","0.545","0.339","0.323","0.256","152","552","88.7","15.9","2248","88.6","88.29","136","509","44","-0.3","6.10","108","151","116","146","302","325","296"
"553",429665,"Edwin Encarnacion","2870","19.3","0.261","0.248","0.275","0.509","0.317","0.339","0.268","143","548","88.9","16.3","2234","89.0","88.70","100","520","33","-0.3","6.04","108","151","118","144","298","324","300"
"553",457803,"Jay Bruce","2432","22.7","0.256","0.256","0.278","0.513","0.316","0.327","0.263","141","550","88.3","18.0","2183","88.4","87.95","115","529","24","-0.5","6.06","115","160","131","151","297","321","304"
"553",608577,"Nomar Mazara","2445","22.6","0.255","0.171","0.296","0.425","0.284","0.286","0.249","140","550","89.0","11.0","2204","88.6","88.24","89","515","38","-0.4","6.10","115","150","120","150","292","323","302"
"552",592696,"Eddie Rosario","2155","25.6","0.291","0.219","0.313","0.509","0.329","0.313","0.268","157","540","86.6","12.7","2217","88.2","87.72","93","539","13","-0.5","6.06","112","147","107","148","289","317","297"
"551",444432,"Mark Trumbo","2309","23.9","0.238","0.165","0.285","0.404","0.269","0.271","0.236","131","550","89.6","13.1","2240","88.4","87.70","120","522","29","-0.7","5.90","109","152","117","146","302","325","294"
"550",435079,"Ian Kinsler","2417","22.8","0.236","0.176","0.244","0.413","0.271","0.293","0.255","130","550","86.3","19.3","2244","88.8","88.44","68","532","18","-0.4","6.07","110","152","112","147","297","320","288"
"550",592178,"Kris Bryant","2652","20.7","0.298","0.244","0.338","0.542","0.346","0.324","0.266","162","544","87.2","17.2","2199","89.9","89.58","99","521","29","-0.3","6.12","108","152","115","145","301","319","296"
"547",425783,"Shin-Soo Choo","2545","21.5","0.263","0.163","0.309","0.427","0.288","0.323","0.272","142","539","87.8","7.2","2203","88.9","88.53","99","512","35","-0.4","6.09","114","150","116","150","289","320","302"
"546",605137,"Josh Bell","2551","21.4","0.258","0.214","0.283","0.472","0.302","0.298","0.263","140","542","88.1","8.9","2144","89.4","89.01","89","518","28","-0.4","6.06","115","151","116","149","298","318","297"
"544",543807,"George Springer","2550","21.3","0.287","0.243","0.303","0.530","0.338","0.346","0.289","155","540","89.2","9.7","2259","89.0","88.60","93","526","18","-0.4","6.04","109","151","113","146","298","324","292"
"543",641820,"Trey Mancini","2280","23.8","0.295","0.197","0.355","0.492","0.328","0.317","0.266","159","539","88.3","7.3","2251","88.0","87.33","114","518","25","-0.7","5.91","108","151","116","146","303","323","291"
"542",592450,"Aaron Judge","2989","18.1","0.286","0.346","0.362","0.632","0.374","0.391","0.283","154","538","94.8","15.9","2264","89.1","88.57","145","479","63","-0.5","6.02","109","152","119","146","306","330","297"
"540",543768,"Travis Shaw","2396","22.5","0.274","0.241","0.314","0.515","0.326","0.293","0.251","147","536","88.1","14.5","2176","88.6","88.16","89","491","49","-0.4","6.02","115","155","121","150","298","317","300"
"539",608369,"Corey Seager","2240","24.1","0.297","0.185","0.355","0.481","0.325","0.348","0.298","159","536","89.7","11.2","2194","89.1","88.42","98","506","33","-0.7","5.88","115","151","120","151","297","318","303"
"537",571875,"Jake Lamb","2558","21.0","0.250","0.241","0.290","0.491","0.304","0.302","0.249","133","532","88.3","12.5","2235","88.4","87.74","105","490","47","-0.7","5.90","114","153","125","149","300","324","306"
"536",502517,"Daniel Murphy","2174","24.7","0.323","0.221","0.342","0.544","0.361","0.338","0.301","172","533","89.6","17.4","2191","88.1","87.77","61","520","16","-0.3","6.10","113","150","118","150","292","317","301"
"533",553993,"Eugenio Suarez","2687","19.8","0.263","0.203","0.314","0.466","0.302","0.300","0.260","139","528","86.3","15.2","2213","88.5","88.16","105","491","42","-0.3","6.10","108","150","114","145","299","316","288"
"530",542921,"Tim Beckham","2313","22.9","0.280","0.178","0.371","0.458","0.310","0.306","0.264","148","528","87.6","8.6","2219","88.1","87.60","122","485","44","-0.5","5.98","109","151","111","146","299","322","289"
"529",592663,"J.T. Realmuto","2171","24.4","0.281","0.175","0.323","0.456","0.308","0.317","0.286","148","526","88.4","10.1","2180","89.1","88.56","91","514","15","-0.5","6.06","107","150","113","146","301","316","291"
"528",493329,"Yuli Gurriel","1933","27.3","0.303","0.190","0.313","0.492","0.330","0.314","0.287","158","522","89.7","10.5","2257","89.2","88.73","51","517","11","-0.5","6.02","107","151","115","146","295","322","291"
"528",544369,"Didi Gregorius","2069","25.5","0.294","0.196","0.296","0.489","0.325","0.279","0.262","153","521","84.5","17.9","2214","88.4","87.84","65","523","5","-0.6","6.02","113","148","108","149","285","318","294"
"525",570267,"Domingo Santana","2491","21.1","0.280","0.228","0.366","0.508","0.327","0.314","0.269","146","522","88.8","10.4","2216","89.4","88.87","133","480","45","-0.5","6.01","110","151","113","147","303","315","292"
"525",475582,"Ryan Zimmerman","2222","23.6","0.306","0.271","0.339","0.577","0.364","0.361","0.293","159","520","91.6","8.8","2217","88.2","87.84","97","496","29","-0.4","6.10","109","151","116","146","303","321","297"
"524",546318,"Odubel Herrera","2180","24.0","0.284","0.172","0.349","0.456","0.309","0.290","0.264","148","522","86.3","8.9","2203","88.3","87.89","108","506","18","-0.4","6.13","113","148","106","150","285","315","295"
"523",543063,"Brandon Crawford","2172","24.1","0.255","0.152","0.295","0.407","0.274","0.282","0.244","131","514","87.5","11.8","2183","88.0","87.55","100","510","13","-0.5","6.00","113","147","112","149","294","320","302"
"523",444482,"David Peralta","2144","24.4","0.296","0.152","0.337","0.448","0.313","0.284","0.263","154","520","88.3","4.6","2215","88.6","88.04","71","500","23","-0.6","5.91","115","150","115","150","295","320","303"
"522",519306,"Steven Souza Jr.","2490","21.0","0.241","0.222","0.305","0.462","0.291","0.289","0.238","125","519","87.9","10.9","2236","88.9","88.29","118","461","61","-0.6","6.01","108","152","114","146","301","325","294"
"520",516416,"Jean Segura","2186","23.8","0.303","0.129","0.343","0.432","0.311","0.297","0.278","157","519","87.6","6.7","2252","87.8","87.38","66","503","17","-0.4","6.04","109","150","108","147","297","313","283"
"520",408045,"Joe Mauer","2601","20.0","0.309","0.114","0.356","0.424","0.311","0.334","0.307","160","517","90.2","5.9","2207","89.2","88.68","60","497","23","-0.5","6.06","114","151","117","149","286","316","303"
"519",605412,"Joe Panik","2182","23.8","0.289","0.134","0.303","0.423","0.297","0.274","0.256","147","508","84.3","11.4","2153","88.8","88.28","36","501","18","-0.5","6.00","115","148","108","149","287","317","300"
"519",448602,"Mark Reynolds","2470","21.0","0.269","0.221","0.347","0.490","0.315","0.271","0.222","139","516","87.1","12.0","2244","88.8","88.44","135","479","40","-0.4","5.96","107","151","115","146","308","327","302"
"514",489149,"Logan Morrison","2356","21.8","0.247","0.270","0.269","0.517","0.313","0.323","0.254","126","511","88.5","17.6","2226","88.8","88.29","116","481","33","-0.5","6.06","115","167","133","151","296","327","302"
"512",541645,"Avisail Garcia","1995","25.7","0.335","0.178","0.399","0.513","0.357","0.351","0.303","171","511","90.1","7.9","2268","88.0","87.70","99","500","12","-0.3","6.07","108","150","115","146","301","322","292"
"512",543685,"Anthony Rendon","2645","19.4","0.302","0.233","0.316","0.536","0.346","0.327","0.283","153","506","89.8","18.2","2196","89.5","89.21","47","477","35","-0.3","6.12","109","151","114","146","301","316","293"
"509",452104,"Chase Headley","2331","21.8","0.279","0.136","0.352","0.415","0.290","0.275","0.250","140","501","86.4","11.7","2170","88.1","87.60","104","481","28","-0.5","6.04","114","155","118","149","291","318","293"
"509",596146,"Max Kepler","2128","23.9","0.246","0.184","0.280","0.430","0.280","0.268","0.246","124","505","88.2","12.7","2197","88.6","88.07","86","481","28","-0.5","6.03","115","149","115","149","290","319","297"
"508",621035,"Chris Taylor","2268","22.4","0.292","0.211","0.368","0.503","0.331","0.311","0.274","148","507","86.6","11.8","2225","89.3","88.85","100","466","42","-0.5","5.95","109","151","110","146","300","315","291"
"508",519048,"Mitch Moreland","2266","22.4","0.249","0.199","0.281","0.447","0.287","0.337","0.269","125","503","89.1","11.7","2182","88.7","88.13","96","484","24","-0.6","5.98","115","164","134","149","286","322","306"
"507",425877,"Yadier Molina","1998","25.4","0.276","0.167","0.287","0.443","0.297","0.316","0.273","137","497","87.7","14.3","2224","89.4","88.97","64","497","10","-0.4","6.02","110","150","114","147","303","316","289"
"506",592325,"Ben Gamel","2188","23.1","0.279","0.139","0.347","0.418","0.293","0.276","0.258","140","502","86.0","10.8","2194","87.8","87.41","92","476","30","-0.4","6.05","112","147","110","148","282","313","296"
"504",408314,"Jose Reyes","2074","24.3","0.248","0.169","0.267","0.417","0.277","0.260","0.246","123","496","83.6","14.9","2155","89.0","88.51","61","486","18","-0.5","6.09","109","148","102","149","285","311","294"
"503",514917,"Cesar Hernandez","2316","21.7","0.299","0.129","0.362","0.428","0.308","0.291","0.276","150","502","84.2","3.6","2157","89.0","88.55","74","473","30","-0.4","6.12","111","148","102","148","283","309","289"
"503",572761,"Matt Carpenter","2764","18.2","0.242","0.210","0.275","0.452","0.285","0.315","0.256","120","496","88.9","21.5","2144","89.3","89.10","85","463","40","-0.2","6.03","118","156","124","151","296","318","300"
"502",606115,"Orlando Arcia","1984","25.3","0.282","0.133","0.325","0.414","0.293","0.261","0.243","140","497","85.3","6.7","2213","88.5","87.94","89","491","11","-0.6","5.97","108","149","107","146","300","311","286"
"499",474568,"Jordy Mercer","2187","22.8","0.258","0.153","0.287","0.410","0.280","0.277","0.262","128","497","85.8","9.4","2209","89.2","88.77","59","470","29","-0.4","6.02","110","150","112","147","301","313","285"
"498",624577,"Yasiel Puig","2119","23.5","0.266","0.227","0.278","0.493","0.313","0.324","0.271","131","493","88.2","10.8","2232","89.3","88.74","85","483","15","-0.6","5.92","108","151","115","146","302","318","297"
"496",596115,"Trevor Story","2284","21.7","0.242","0.222","0.342","0.465","0.293","0.262","0.216","120","495","88.6","19.1","2235","89.1","88.76","139","444","52","-0.3","5.97","108","151","114","146","310","326","302"
"496",452655,"Denard Span","2032","24.4","0.273","0.156","0.297","0.429","0.295","0.297","0.281","135","494","84.5","10.3","2206","89.0","88.44","48","475","21","-0.6","5.99","114","148","103","149","283","313","297"
"496",457763,"Buster Posey","2073","23.9","0.322","0.143","0.349","0.464","0.330","0.310","0.278","158","491","88.6","11.5","2222","89.6","89.15","50","480","16","-0.5","6.06","108","151","116","147","301","321","292"
"495",593871,"Jorge Polanco","2065","24.0","0.259","0.156","0.282","0.415","0.280","0.270","0.253","125","482","83.7","14.8","2181","89.2","88.73","59","476","19","-0.5","6.08","108","146","105","146","288","314","290"
"493",571830,"Tommy Joseph","2026","24.3","0.243","0.194","0.284","0.437","0.282","0.273","0.235","119","490","89.2","14.4","2201","89.1","88.70","93","457","36","-0.4","6.11","108","152","116","147","296","318","292"
"492",434670,"Hanley Ramirez","2084","23.6","0.244","0.189","0.275","0.433","0.283","0.319","0.266","120","492","88.4","12.8","2268","89.3","88.81","83","459","33","-0.5","6.00","108","151","117","146","294","324","298"
"491",452254,"Hunter Pence","2136","23.0","0.263","0.127","0.306","0.390","0.274","0.296","0.261","128","487","88.8","4.3","2225","88.6","88.09","88","477","14","-0.5","6.01","107","150","114","146","301","321","294"
"487",570560,"Yolmer Sanchez","2004","24.3","0.271","0.149","0.328","0.420","0.289","0.257","0.240","129","476","83.8","9.8","2197","88.0","87.68","92","468","19","-0.3","6.10","109","146","104","145","283","312","291"
"486",621020,"Dansby Swanson","2188","22.2","0.234","0.093","0.297","0.328","0.237","0.261","0.248","113","482","86.9","8.5","2173","88.7","88.28","89","455","31","-0.4","5.99","108","149","110","147","299","312","284"
"486",606299,"Jose Peraza","1856","26.2","0.261","0.066","0.297","0.328","0.252","0.284","0.286","126","482","81.9","10.2","2186","88.1","87.68","59","475","11","-0.4","6.07","108","149","105","146","295","306","276"
"485",622534,"Manuel Margot","2026","23.9","0.267","0.148","0.315","0.415","0.285","0.275","0.260","128","480","84.5","10.5","2254","88.3","87.57","91","470","15","-0.7","5.91","108","150","106","146","299","316","289"
"484",543281,"Josh Harrison","2029","23.9","0.276","0.163","0.309","0.438","0.299","0.282","0.258","132","479","83.8","15.9","2216","88.8","88.34","80","474","10","-0.5","6.01","109","151","106","146","300","314","288"
"483",502210,"Josh Reddick","2037","23.7","0.319","0.172","0.345","0.491","0.333","0.319","0.295","150","470","87.2","17.8","2187","88.4","87.93","58","469","14","-0.5","6.03","114","149","114","149","288","320","296"
"481",641355,"Cody Bellinger","2205","21.8","0.268","0.316","0.301","0.584","0.348","0.330","0.253","128","478","89.6","16.6","2197","89.3","88.67","113","448","33","-0.6","5.88","115","154","127","150","299","321","303"
"478",460086,"Alex Gordon","2200","21.7","0.210","0.108","0.264","0.318","0.221","0.255","0.227","99","472","85.7","13.2","2218","88.2","88.03","94","446","32","-0.2","6.06","114","153","120","150","291","320","301"
"478",452678,"Asdrubal Cabrera","2062","23.2","0.284","0.157","0.316","0.441","0.303","0.298","0.265","134","472","86.6","11.7","2186","88.3","87.80","65","460","18","-0.5","6.11","112","151","113","150","291","315","297"
"477",598265,"Jackie Bradley Jr.","2033","23.5","0.248","0.160","0.301","0.408","0.275","0.284","0.245","118","475","88.2","9.7","2191","88.6","88.12","102","455","22","-0.5","6.04","112","147","116","149","285","320","302"
"476",521692,"Salvador Perez","1737","27.4","0.268","0.227","0.280","0.495","0.314","0.337","0.273","126","471","88.5","18.7","2211","87.6","87.35","83","464","12","-0.3","6.08","106","150","115","145","301","324","297"
"476",459964,"Matt Joyce","2266","21.0","0.243","0.230","0.263","0.473","0.293","0.310","0.253","114","469","88.1","15.0","2201","88.1","87.77","82","445","31","-0.3","6.02","114","154","120","150","290","320","298"
"476",453943,"Todd Frazier","2493","19.1","0.214","0.217","0.228","0.431","0.264","0.290","0.233","101","471","87.5","20.6","2237","88.7","88.30","94","445","31","-0.4","6.03","107","152","116","145","300","324","292"
"476",594988,"Scott Schebler","1886","25.2","0.234","0.253","0.249","0.486","0.294","0.315","0.258","110","471","88.8","11.6","2184","88.1","87.61","103","454","22","-0.5","6.06","116","153","123","150","295","319","298"
"473",471865,"Carlos Gonzalez","1941","24.4","0.263","0.163","0.321","0.426","0.286","0.262","0.235","123","467","87.3","6.1","2200","88.2","87.90","106","460","13","-0.3","5.99","116","157","124","150","305","328","308"
"470",595879,"Javier Baez","1845","25.5","0.277","0.210","0.354","0.487","0.318","0.283","0.239","128","462","86.7","9.1","2200","88.3","87.91","136","462","8","-0.4","6.03","107","150","111","145","298","316","295"
"468",596142,"Gary Sanchez","2031","23.0","0.282","0.256","0.311","0.539","0.338","0.354","0.288","131","464","90.9","13.7","2254","88.0","87.51","102","450","18","-0.5","6.00","108","152","117","146","301","326","295"
"467",519346,"Eric Thames","2343","19.9","0.248","0.272","0.311","0.520","0.317","0.286","0.227","116","467","88.1","12.9","2153","89.1","88.58","121","425","42","-0.5","5.99","118","154","127","150","298","318","300"
"467",408234,"Miguel Cabrera","2045","22.8","0.252","0.151","0.296","0.403","0.274","0.344","0.283","117","464","91.3","12.2","2245","88.7","88.40","83","440","27","-0.3","6.06","109","152","118","147","304","327","298"
