"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"50",591693,"Edubray Ramos","743","6.7","0.160","0.000","0.216","0.160","0.141","0.202","0.209","8","50","82.6","21.2","2531","85.9","85.23","13","50","0","-0.7","5.80","105","152","115","144","296","320","293"
"50",669203,"Corbin Burnes","571","8.8","0.229","0.083","0.256","0.313","0.229","0.253","0.255","11","48","86.7","11.5","2624","91.4","91.21","6","47","3","-0.2","5.97","108","154","113","149","303","318","293"
"50",570663,"Hansel Robles","969","5.2","0.250","0.292","0.276","0.542","0.318","0.259","0.202","12","48","90.3","21.3","2452","93.8","93.09","14","47","3","-0.7","5.91","111","150","110","147","292","315","299"
"50",572143,"Burch Smith","1431","3.5","0.306","0.367","0.273","0.673","0.410","0.366","0.293","15","49","90.1","9.4","2093","86.6","87.02","7","47","3","0.4","6.43","109","151","109","145","299","320","298"
"50",622382,"Gabriel Moya","645","7.8","0.271","0.188","0.244","0.458","0.298","0.306","0.286","13","48","88.4","13.4","1724","84.0","83.83","2","46","4","-0.2","6.08","104","150","115","146","296","325","292"
"49",501957,"Chris Tillman","520","9.4","0.340","0.298","0.350","0.638","0.394","0.350","0.304","16","47","93.2","11.5","2133","84.8","84.35","7","49","0","-0.4","5.92","108","151","119","147","294","315","288"
"49",501789,"Will Harris","887","5.5","0.333","0.167","0.400","0.500","0.357","0.271","0.248","16","48","81.2","-2.9","2586","89.9","89.81","10","48","1","-0.1","6.22","105","150","119","150","286","313","291"
"49",488748,"Ryan Buchter","679","7.2","0.229","0.083","0.333","0.313","0.232","0.238","0.219","11","48","89.6","23.0","2250","89.2","89.16","11","45","4","0.0","6.35","109","148","118","150","294","318","302"
"48",543359,"Dan Jennings","1070","4.5","0.311","0.200","0.316","0.511","0.342","0.291","0.283","14","45","87.2","-3.0","2297","87.7","87.33","5","47","1","-0.4","5.98","104","149","108","148","295","317","292"
"48",664208,"Phil Maton","849","5.7","0.298","0.106","0.412","0.404","0.300","0.214","0.201","14","47","83.0","13.2","2659","84.8","85.41","11","46","2","0.6","6.70","115","150","117","146","296","317","303"
"48",607237,"Amir Garrett","1002","4.8","0.188","0.167","0.226","0.354","0.228","0.219","0.207","9","48","82.2","10.5","1950","90.5","90.81","14","47","1","0.3","6.47","107","146","113","143","295","305","291"
"48",542947,"Richard Bleier","452","10.6","0.234","0.043","0.250","0.277","0.217","0.249","0.241","11","47","84.4","0.0","1853","87.0","86.63","1","45","3","-0.4","6.09","110","155","115","150","293","314","288"
"48",592865,"Taylor Williams","940","5.1","0.310","0.143","0.333","0.452","0.310","0.304","0.283","13","42","81.0","16.6","2397","92.8","92.24","4","45","3","-0.6","5.89","109","149","110","146","301","315","289"
"48",656945,"Tanner Scott","957","5.0","0.333","0.188","0.438","0.521","0.364","0.296","0.289","16","48","86.9","7.7","2537","92.5","91.43","11","45","3","-1.1","5.57","109","150","110","145","288","316","298"
"47",446099,"John Axford","916","5.1","0.106","0.064","0.121","0.170","0.118","0.187","0.177","5","47","83.8","6.5","2084","94.0","94.44","8","42","5","0.4","6.45","112","151","117","144","299","327","296"
"47",592716,"Adrian Sampson","339","13.9","0.326","0.261","0.333","0.587","0.377","0.389","0.313","15","46","89.0","18.7","2047","89.2","88.24","6","45","2","-1.0","5.76","109","153","112","147","297","310","298"
"47",642098,"Glenn Sparkman","670","7.0","0.326","0.116","0.351","0.442","0.302","0.310","0.315","14","43","86.5","6.4","2292","87.8","87.67","7","45","2","-0.1","6.16","110","151","111","144","299","323","299"
"47",501593,"Luis Avilan","826","5.7","0.298","0.106","0.419","0.404","0.302","0.279","0.278","14","47","85.1","17.0","2176","83.2","82.52","12","44","3","-0.7","5.72","108","150","115","147","293","316","298"
"47",605541,"Mike Wright","1562","3.0","0.267","0.178","0.313","0.444","0.296","0.250","0.228","12","45","82.3","13.0","2241","91.7","91.12","9","44","3","-0.6","5.95","109","153","114","147","298","315","288"
"46",608331,"Max Fried","571","8.1","0.233","0.186","0.286","0.419","0.262","0.282","0.251","10","43","87.2","1.9","2176","86.8","86.78","13","44","2","0.0","6.18","104","149","108","147","295","318","295"
"46",518693,"Sam Freeman","887","5.2","0.318","0.136","0.371","0.455","0.324","0.281","0.270","14","44","84.0","6.4","1879","91.4","89.74","3","40","6","-1.7","5.23","104","146","103","146","297","318","294"
